,DM01,DM02,DM03,DM04,DM06,DM08,DM09,DM10,DM11,DM12,DM13,DM14,DM15,DM17,DM18,DM19,DM20,DM21,DM22,DM23,DM24,DM25,DM26,DM27,DM28,DM29,DM30,DM31,DM32,DM33
Cytotoxic T cell,48.21067538145174,43.33372671223544,26.92655349896614,77.91268468352445,27.65720540646171,57.118618068891514,87.02485661010935,50.744932444630244,38.227777324822895,33.99965297472478,46.86329608077041,30.774499928975395,78.21141691191144,51.40427763420819,88.89613982740829,93.2346542057962,52.49738930752373,63.39764798814641,100.0,45.58040277114782,82.04604332137893,40.03259383944953,43.96025511302531,0.0,84.06201536210874,8.006337736758834,88.29518389041922,52.73707462499291,44.60248722103168,16.562225006267457
M1 Macrophage,55.73012399507783,66.09332507592647,86.57218646838149,80.30354735602894,59.809488192076245,73.84765375046673,100.0,59.87747075930731,48.736345232248915,0.0,18.918595506244376,47.47345642912641,81.35473766638485,20.629277028216364,51.42384462548789,70.50549286788424,75.14407899699954,41.84787863294361,91.6070235709942,74.72634514900854,58.890240322623555,68.07882934182581,30.346189372534866,34.98348988181436,75.64287282860126,27.01355257873674,67.1193378692,38.60191483497448,49.08420857803033,11.951052437318772
M2 Macrophage,62.687103916048535,36.463371522371204,61.199659732426184,44.90305705354067,52.90197068858904,75.00686825396042,100.0,42.680731632266074,73.88497752822393,9.957033523473518,66.50455777659708,13.509311762090876,88.93703541958452,39.359859143004044,85.93061762715672,88.68825335511042,40.93712370076035,57.754732767778926,91.22958923378202,67.33968264740753,96.98541702196648,85.1510260307846,50.86944925586502,51.527340999694694,79.2750306683719,30.11623024992006,77.19944384339951,61.27503654530989,56.80251349551665,0.0
Macrophage,57.989307282181976,44.03839977300784,70.36517842166965,57.81303485749364,51.88604278516776,72.2499136452097,100.0,44.87900465851361,65.68802970801063,7.03756875159258,57.098399795687484,20.426611857184643,84.6108729070634,33.81051569777972,75.98257330565635,81.30867001859419,52.15702462491277,51.538537818190534,90.37648882804595,67.40574251815677,86.01316756559972,78.04232145747439,44.4414105843421,45.510474334390786,75.86086994066964,26.845681187526914,71.77773635990259,54.02503600224576,52.00338345164022,0.0
PD-1+ cytotoxic T cell,50.98188719776704,33.704140932713216,33.99817428298172,75.67616027642259,33.94007626028338,59.75411363020983,88.47598721693763,43.81806538526019,41.44283664051809,36.41563533093643,53.617690771362746,35.623615354275096,69.31483034797787,14.757338351407073,84.39726064533369,85.38375942400388,51.40083030591312,63.76061658628566,100.0,38.37378727810195,70.47626733768901,4.560724289772632,37.00130843253438,1.0788831210705332,67.1370782938561,0.0,70.2729413562927,50.131369091782396,37.25129681470093,26.118259833063263
PD-1- cytotoxic T cell,43.051474690761864,47.699330384230144,18.66240657271764,76.67757590899997,20.441463527552745,50.58511822886462,70.49190776422124,54.47077829079225,33.683695272336614,30.730920516140536,33.235059437356654,25.028384655204945,84.47201113912337,60.778056739533326,89.903286566665,98.50730105055212,51.91920207598619,59.920964121898855,78.79925855829526,49.12660456333579,90.24564309627443,47.69541541414931,47.28817263565717,0.0,94.94017581523198,10.024613423654822,100.0,53.58820558653087,48.15074096552105,6.914579858163898
PD-L1+ Others cell,53.12075784137621,71.80957851115863,48.877015979696715,53.80381093167902,76.5396774025176,40.33297124677297,72.3867444920396,75.71804904545158,68.71674795246922,63.18309708482977,70.63593463918016,72.57916309670753,76.60523506671612,2.041750350218725,90.29627779831407,41.89278244235554,86.48981433630567,68.31294734230788,100.0,55.225542693520765,85.97108756294307,24.250893548811764,0.0,2.296508990376536,68.46755776225781,0.0,76.03098234011902,52.94493968087117,44.27000491780075,51.754266487041555
PD-L1+M1 Macrophage,38.49854804849005,62.77782185349873,19.284387394644778,73.93045720865454,51.606925600796295,31.193604316080563,84.78102460478192,55.36584873119562,0.7164786455567281,0.0,2.316105169510314,51.969180753151804,100.0,0.0,64.62960281055639,2.214460631039023,63.45249063102643,15.265004267354678,97.73367650116428,37.07082652331607,54.854563166332184,3.454341833478971,0.0,0.423489513453844,65.59489612626533,0.0,57.91193383702139,38.441509160586726,10.446410958648732,7.00473645309044
PD-L1+M2 Macrophage,69.04796498387402,64.26263517758267,40.69937806274152,47.39784365754792,66.1788895585089,53.503053061743344,93.78551792656359,69.95770893573561,15.063362589956455,18.65418936154926,65.58013719030494,59.14739891434246,91.45287047898272,0.0,99.47944376920934,47.212798049750134,70.99844245713321,64.51859076319933,97.41349501553024,31.06191083443483,100.0,18.31007829308749,0.0,1.2718614038447005,75.29428078836398,0.0,77.90008430145562,65.50630519735174,40.00341405707029,29.427468478267084
PD-L1- Others cell,99.54394396084106,99.78327700129645,97.79015312182882,98.91115273960446,97.01924284380976,97.20649738054284,90.39615896820374,98.24449438821756,96.74201392794218,98.77925072369649,94.32196258067718,97.98577641270593,98.16250711218731,0.0,90.01895199763968,97.09216703019268,98.29894114429739,99.17006728327604,88.51497419243913,99.06214740822737,94.69723513767634,100.0,0.0,0.0,96.80773504829429,0.0,99.38756620733272,97.81299470401575,99.89914040434212,96.63328777288008
