,DM01,DM02,DM03,DM04,DM06,DM08,DM09,DM10,DM11,DM12,DM13,DM14,DM15,DM17,DM18,DM19,DM20,DM21,DM22,DM23,DM24,DM25,DM26,DM27,DM28,DM29,DM30,DM31,DM32,DM33
Cytotoxic T cell,4.5077658534547025,4.218670825386691,3.246088884849469,6.268437083615278,3.2894003584843396,5.035809537307431,6.808587037520764,4.65799116163472,3.916001127264755,3.6653670093823787,4.427896106371365,3.474186873292413,6.28614528761904,4.697075726393565,6.919512682000669,7.176690483339939,4.7618730353899315,5.40801692636707,7.577725631528087,4.3518489501454605,6.513453693892154,4.0229867685627685,4.255810081486522,1.6499407054163386,6.632956180637162,2.1245391869095256,6.8838893065552575,4.776081065508972,4.293880219575573,2.6317137827665715
M1 Macrophage,4.260877202083985,4.755643308981263,5.733357284208327,5.4340761890171585,4.4556366327482175,5.125855078488879,6.3744359406341875,4.458882296888418,3.9269760586061864,1.6001764909009073,2.503399324614595,3.8666824705834864,5.484262741744006,2.585071698832184,4.055284252349423,4.966291646726895,5.187749783330199,3.598102791047132,5.973733470358492,5.167806085617754,4.411749354474401,4.8504364340208195,3.0489823046531095,3.270379062429915,5.211563494970131,2.8898735775999143,4.804627821719596,3.4431320576876696,3.9435839572643134,2.1707507412321783
M2 Macrophage,6.0536504780423686,5.354007632726786,6.013965826549793,5.579176403897583,5.792585487358493,6.382338814454477,7.04914953177107,5.5198852985119675,6.352407040910422,4.64682493813383,6.155499224847728,4.741598863405356,6.7539923092799805,5.431285222731843,6.673781808847604,6.7473548638988605,5.473366260108128,5.922056007334612,6.81515709122349,6.177780154657266,6.968721186159222,6.652982493384737,5.738358306535873,5.755910699332316,6.496212356597847,5.1846674368762375,6.44083620151348,6.015976861708522,5.896651027181194,4.381173689078784
Macrophage,6.205640408667541,5.78901917314739,6.575225736459364,6.200376318477459,6.023376309089774,6.63151029837358,7.460221638859559,5.814122475262567,6.435550272729517,4.684049340519857,6.179034900924521,5.083891406522811,7.000650307115032,5.483579996708419,6.742980127736929,6.902035371389342,6.031468742417416,6.012998636626801,7.172831079366214,6.48684698104482,7.042527563689095,6.80449116702283,5.801054437665892,5.832980293392639,6.739345654047359,5.275586505464444,6.617409489242716,6.087253873777393,6.026880497861033,4.4738837590751785
PD-1+ cytotoxic T cell,3.872971804203793,2.618733090819169,2.6400777734690615,5.665596421963509,2.635860279582908,4.509771640557411,6.594770761436738,3.352930444920218,3.1805061136968176,2.815567862739377,4.064311972774729,2.758072972997197,5.203810136734558,1.2433330283471984,6.298684877957637,6.370297514231697,3.9033840267750475,4.8006146148499615,7.4313302724008885,2.9577154519647144,5.288122014759934,0.5031330100490303,2.8580834701654423,0.2503766655207275,5.045721176951822,0.1720575979233036,5.273362027352318,3.811230375744565,2.876230808481427,2.06805329703392
PD-1- cytotoxic T cell,3.775832977977361,4.011411825183526,2.5396610891306817,5.480188423470798,2.6298334641300056,4.157679398567082,5.1666647973404265,4.354625986067711,3.301022480014702,3.151359642138369,3.2782831525075076,2.862323812958276,5.87525319897922,4.67431349014638,6.150540059945563,6.586638757309971,4.225298093188546,4.630871330120845,5.587726949970388,4.083753917523731,6.167892568693248,4.01121339300333,3.990572092881849,1.593747851619455,6.405837263847582,2.1018503035417098,6.662296936248479,4.309892355344685,4.034291792069465,1.944216725726364
PD-L1+ Others cell,4.279297646647019,5.784830126993428,3.9374306383507376,4.334322981387086,6.165877044935434,3.2491401845957917,5.831325416670655,6.099688375238549,5.535678136903244,5.089898744862812,5.690283820362103,5.846826258819508,6.171158233862785,0.16447915699587765,7.274080129601181,3.3747953267607818,6.9674393587059145,5.503148800519567,8.05579178562441,4.448854731871147,6.925651809907536,1.9536014904456975,0.0,0.1850019826028791,5.515603894029612,0.0,6.124897629884853,4.265134101715418,3.5662994196637143,4.169215948373259
PD-L1+M1 Macrophage,1.8289167367236665,2.982330890461302,0.9161264684347502,3.512149350989467,2.451644925498723,1.4818871854740745,4.027617734075769,2.6302167879124974,0.03403712224973639,0.0,0.11002917572876529,2.4688542631151154,4.75061224236325,0.0,3.0703018233090353,0.10520043784045463,3.0143817880019355,0.7251811615222239,4.642948000776006,1.7610912231618963,2.6059275932746586,0.1641023860343272,0.0,0.020118344671262927,3.1161591657398175,0.0,2.7511714186508436,1.826207040332023,0.49626847788914286,0.33276786748579595
PD-L1+M2 Macrophage,4.242853328314939,3.9488047998688103,2.500891832426636,2.912498561895998,4.06655463188645,3.2876509367226845,5.762924323336589,4.298755195299314,0.9256121902410576,1.14626100042414,4.029762548602548,3.6344842082384172,5.619588006486914,0.0,6.112804181755156,2.9011278955321416,4.362706097924497,3.9645327363632177,5.985855942980521,1.908689586991929,6.144791275609422,1.1251160935108948,0.0,0.07815322858129291,4.626676396916251,0.0,4.78679758384823,4.02522572674095,2.4581262969247684,1.8082565156852684
PD-L1- Others cell,9.054923103847248,9.076693813257616,8.895391136802274,8.99736183370769,8.82526599397918,8.84229943030386,8.222803274323075,8.93671987129237,8.800048121193957,8.985363488416498,8.579910381167632,8.913185829133436,8.929261974303278,0.0,8.188490989951095,8.83189947537276,8.94167257027073,9.020913756508097,8.0516830352518,9.01109692455369,8.614046703392802,9.096407821061725,0.0,0.0,8.806026382325754,0.0,9.040698345646714,8.897468900270779,9.08723322091401,8.790157946721347
